date,time,open,high,low,close,volume
2020-02-27,14:30:00,28145,28180,28145,28155,96158
2020-02-27,14:25:00,28130,28170,28120,28150,83297
2020-02-27,14:20:00,28120,28165,28110,28135,63934
2020-02-27,14:15:00,28120,28140,28100,28115,58704
2020-02-27,14:10:00,28130,28135,28095,28120,112634
2020-02-27,14:05:00,28080,28135,28065,28135,105726
2020-02-27,14:00:00,28010,28080,28005,28080,159485
2020-02-27,13:55:00,28045,28050,28000,28010,133447
2020-02-27,13:50:00,28080,28080,28045,28045,54160
2020-02-27,13:45:00,28075,28100,28075,28080,82865
2020-02-27,13:40:00,28055,28075,28040,28075,112137
2020-02-27,13:35:00,28030,28080,28025,28060,120336
2020-02-27,13:30:00,28095,28100,28030,28030,131226
2020-02-27,13:25:00,28135,28135,28090,28095,36249
